slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-little-samourai,Petit samouraï,Sticker Little Samourai.png,nom different,sync juillet,"site attend ""Sticker Petit samouraï"", Drive a ""Sticker Little Samourai.png"""
massive-los-muertos,Muerto surfeur,Sticker Los muertos.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-lost-paradise,Paradis perdu,Sticker Lost Paradise.png,nom different,sync juillet,"site attend ""Sticker Paradis perdu"", Drive a ""Sticker Lost Paradise.png"""
massive-loutre,Combinaison jaune,Sticker Combinaison Jaune.psd,nom different,mapping 270,"site attend ""Sticker Loutre.png"", Drive a ""Sticker Combinaison Jaune.psd"" (PSD seulement)"
massive-lunette-duck,Canard star,Sticker Lunette Duck,match exact,mapping 270,
massive-mais,Maïs cool,Sticker Mais.png,match exact,mapping 270,
massive-mami-canard,Mamie canard,Sticker Mami Canard.png,match exact,mapping 270,
massive-manga-alchimiste,Alchimiste,Sticker Manga alchimiste.png,match exact,mapping 270,
massive-manga-blue,Boucles bleues,Sticker Manga blue.png,match exact,mapping 270,
massive-manga-girl-colored,Fille daruma,Sticker Manga girl colored.png,match exact,mapping 270,
massive-manga-sticker-2,Muse florale,Sticker Manga Sticker 2.png,match exact,mapping 270,
massive-marin-pirate,Pirate naufragé,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Marin pirate.png"" introuvable au Drive"
massive-mask,Masque d'ombre,Sticker Mask.png,nom different,sync juillet,"site attend ""Sticker Masque d'ombre"", Drive a ""Sticker Mask.png"""
massive-mauve-zombie,Spectre fondant,Sticker Mauve Zombie.png,match exact,mapping 270,
massive-meduse,Méduse arc-en-ciel,Sticker Meduse.png,nom different,sync juillet,"site attend ""Sticker Méduse arc-en-ciel"", Drive a ""Sticker Meduse.png"""
massive-meeting-persons,Marée humaine,Sticker meeting persons.png,match exact,mapping 270,
massive-meme,Mémé laine,Sticker mémé.png,match exact,mapping 270,
massive-memento,Memento mori,Sticker Memento.png,nom different,sync juillet,"site attend ""Sticker Memento mori"", Drive a ""Sticker Memento.png"""
massive-mexican-skull,Calavera tropicale,Sticker Mexican Skull.png,match exact,mapping 270,
massive-mimi,Boule rousse,Sticker Mimi.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-mimi-gris,Boule grise,Sticker Mimi gris.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-mind-control,Contrôle mental,Sticker Mind Control.png,nom different,sync juillet,"site attend ""Sticker Contrôle mental"", Drive a ""Sticker Mind Control.png"""
massive-mini-cabins-shop,Petite échoppe,Sticker Mini cabins Shop.png,nom different,sync juillet,"site attend ""Sticker Petite échoppe"", Drive a ""Sticker Mini cabins Shop.png"""
massive-mission,Quartier Mission,Sticker Mission.png,match exact,mapping 270,
massive-mixed,Cassette mêlée,Sticker Mixed.png,nom different,sync juillet,"site attend ""Sticker Cassette mêlée"", Drive a ""Sticker Mixed.png"""
massive-moino-cool,Moineau matcha,Sticker Moino cool.png,match exact,mapping 270,
massive-monstre-dormeur,Dormeur,Sticker Monstre dormeur.png,match exact,mapping 270,
massive-monstre-roses,Diablotin rose,Sticker monstre roses.png,match exact,mapping 270,
massive-mort,La Faucheuse,Sticker Mort.png,match exact,mapping 270,
massive-moto,Moto folle,Sticker Moto.png,match exact,mapping 270,
massive-mouille,Escargot ébahi,Sticker mouillé.png,match exact,mapping 270,
massive-moustique,Moustique enragé,Sticker Moustique.png,match exact,mapping 270,
massive-mtl-subjects,Foule doodle,Sticker Mtl subjects.png,nom different,sync juillet,"site attend ""Sticker Foule doodle"", Drive a ""Sticker Mtl subjects.png"""
